company_id,year,accounts_payable,accounts_receivable,cash_and_equivalents,intangible_assets,inventory,long_term_debt,other_current_assets,other_current_liabilities,other_equity,ppe,retained_earnings,share_capital,short_term_debt,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_noncurrent_assets,total_noncurrent_liabilities
4f339c3e-efef-43c4-ac16-334961610d1a,2023,,,250000000.0,120.0,540000000.0,,860.0,760.0,,165000000.0,,,,283.0,197.0,,152.0,340.0,,
4f339c3e-efef-43c4-ac16-334961610d1a,2024,,,,110.0,,,950.0,300.0,,,,,,246.0,151.0,,165.0,,,
54ca0f37-14b3-4dd4-916e-bb79fd09d23c,2022,202.0,208.0,80.0,6.0,2.0,202.0,81000000.0,30.0,-250.35,202.0,453.0,6.0,369.0,80.0,1000000.0,22.0,212.0,80.0,,22.0
54ca0f37-14b3-4dd4-916e-bb79fd09d23c,2023,7.0,131.0,201.0,2.0,79000000.0,24000000000.0,197000000.0,33.0,438.45,202.0,24.0,23000000000.0,110000000.0,4000000000.0,24000000000.0,26.0,421.0,10.0,36.0,26.0
de062237-bfb9-4a3b-aa4b-8868f7d6c91c,2023,,,85000000.0,31000000.0,80000000.0,,30.0,100.0,,115.0,,,,800.0,415.0,250.0,550.0,250000000.0,,
de062237-bfb9-4a3b-aa4b-8868f7d6c91c,2024,,,,,,,25.0,30.0,,0.0,,,,420.0,125.0,150.0,450.0,,,
de062237-bfb9-4a3b-aa4b-8868f7d6c91c,2025,,,,,,,,,,,,,,33.3,,66.7,22.2,,,
